Date,Newspaper,TypeOfArticle,View.Grade,News.Grade,ArticleName,Coresspondent,Summary,Tag1,Tag2,Language,VG.Score,NG.Score,Total.Score
2020-07-31T00:00:00Z,Mawbima,Long Opinion,Neutral,Neutral,6 General Elections,Susil Suraweera,Author describes the various notable events that have occurred within various Governments in Sri Lanka across the years. The Oslo-hosted Cease-Fire Agreement is one such instance.,NA,NA,Sinhala,0,0,0
2020-07-31T00:00:00Z,Aruna,Long Opinion,Neutral,Neutral,The JVP that Worships,Nuwan Ballanthudawe,Author mentions the Janatha Vimukthi Peramuna Party's stance on religious matters. Mentions that certain rights for the Christians in Norway are given in their Constitution.,NA,NA,Sinhala,0,0,0
2020-07-31T00:00:00Z,Daily Mirror,Feature,Positive,Neutral,SLASSCOM boosts start-ups with OIW Accelerate 2020 programme,NA,The Royal Norwegian Embassy in Sri Lanka has hosted a competition to nurture start-ups within Sri Lanka,NA,NA,English,1,0,1
2020-07-30T00:00:00Z,Daily FT,Feature,Positive,Neutral,SLASSCOM boosts start-ups with OIW Accelerate 2020 program,NA,The Royal Norwegian Embassy in Sri Lanka has hosted a competition to nurture start-ups within Sri Lanka,NA,NA,English,1,0,1
2020-07-30T00:00:00Z,Daily FT,Long Opinion,Neutral,Neutral,Tactical voting can thwart the two-thirds threat,Dr. Dayan Jayatilleka,Author describes the harms of a singular party owning 2/3rds of the Parliament. The Oslo-hosted Cease Fire Agreement came under fire by Nationalist Right-Wing parties.,NA,NA,English,0,0,0
2020-07-30T00:00:00Z,Ceylon Today,Feature,Positive,Neutral,SLASSCOM boosts startups with OIW Accelerate 2020 programme,NA,The Royal Norwegian Embassy in Sri Lanka has hosted a competition to nurture start-ups within Sri Lanka,NA,NA,English,1,0,1
2020-07-28T00:00:00Z,The Island,Feature,Negative,Neutral,Strengthening presidency is the dominant campaign theme ,Jehan Perera ,Author describes the political context in status quo. Says that the Norwegian facilitated Cease Fire gave false hope that the country has won and development can recommence.,NA,NA,English,-1,0,-1
2020-07-28T00:00:00Z,Virakesari,Editorial,Neutral,Neutral,The expectation of the Tamil people regarding the international role,NA,"Throughout the history, the Tamil-speaking people had high expectations of the international community in resolving the national ethnic problems. From the Thimphu talks to the Oslo Declaration, the role of the international community has played a key role in this process.",NA,NA,Tamil,0,0,0
2020-07-27T00:00:00Z,Divaina,Long Opinion,Neutral,Neutral,2nd Wave of COVID-19 Has Begun in Europe,NA,The 2nd Wave of COVID-19 has emerged in Spain. Therefore countries like Norway has taken steps to self-isolate and quarantine returnees from Spain.,NA,NA,Sinhala,0,0,0
2020-07-27T00:00:00Z,Daily FT,Feature,Neutral,Neutral,Emirates resumes flights to Stockholm from 1 August,NA,Emirates resumes flights to Stockholm from 1 August. Emirates will resume flights to Oslo from the 4th of August.,NA,NA,English,0,0,0
2020-07-27T00:00:00Z,Daily Mirror,Feature,Neutral,Neutral,"David Pieris, Indra Silva and Nimal Perera among main buyers of Combank shares",NA,"David Pieris, Indra Silva and Nimal Perera among main buyers of Combank shares after the lockdown in Sri Lanka. During this time, the Norwegian Central Bank too has increased its share in the bank.",NA,NA,English,0,0,0
2020-07-27T00:00:00Z,Daily Mirror,Feature,Neutral,Neutral,Colombo Dockyard completes steel modification repairs on FPSO Dhirubhai -1,NA,"The Colombo Dockyard completes its repairs on the ship FPSO Dhirubhai-1. This ship is managed by AFP Operations AS, Norway.",NA,NA,English,0,0,0
2020-07-27T00:00:00Z,Thinakaran,News,Neutral,Neutral,Spain drives fears of second wave of Covid-19,NA,"Spain is taking new measures to cut a spike in coronavirus cases, amid fears of a more widespread second wave. The UK says all returning from Spain must self-isolate. Norway has similar rules and France has a travel warning.",NA,NA,Tamil,0,0,0
2020-07-26T00:00:00Z,Lanka,Feature,Neutral,Neutral,Lost Frozen Land,NA,Author features a book that was directly translated from Norwegian into Sinhalese.,NA,NA,Sinhala,0,0,0
2020-07-26T00:00:00Z,Aruna,Interview,Neutral,Neutral,I will be in Nuwara-Eliya in the Weekend,NA,Interview with former Prime Minister Ranil Wickramasinghe. The Oslo-hosted Cease Fire Agreement was discussed here.,NA,NA,Sinhala,0,0,0
2020-07-26T00:00:00Z,Divaina,Long Opinion,Neutral,Neutral,The Political Organization that made the LTTE contesting the Election to Divide the Country,NA,Author describes the various political affiliations the LTTE had during their active year. The Oslo-hosted Cease Fire Agreement was a key event in the LTTE's timeline.,NA,NA,Sinhala,0,0,0
2020-07-26T00:00:00Z,Divaina,Long Opinion,Neutral,Neutral,The 2001 Election that the UNP Won,NA,Author describes the political situation in the run-up to the 2001 elections.,NA,NA,Sinhala,0,0,0
2020-07-26T00:00:00Z,Anidda,Interview,Neutral,Neutral,The SLPP could have At least Added the Names of Tamil and Muslim Candidates,NA,Former Parliamentarian Mano Ganeshan claims that Mahinda Rajapaksa deceived the International Community when making a speech at Oslo in 2005 about reconciliation.,NA,NA,Sinhala,0,0,0
2020-07-26T00:00:00Z,The Sunday Times,News,Positive,Neutral,Lanka’s TRC to wipe out dark spots,Duruthu Edirimuni Chandrasekera,Sri Lanka Telecom Regulatory Commission to eradicate all connectivity-less areas in Sri Lanka. Sri Lanka is currently ranked as the 9th cheapest voice over rates in the world behind countries such as Norway.,NA,NA,English,1,0,1
2020-07-26T00:00:00Z,Virakesari,News,Neutral,Neutral,Why did Prabhakaran take up arms?,R. Ram,Sambanthan said the ethnic issue in Sri Lanka has been going on for seventy years. Negotiations with the LTTE continued during the Premadasa regime and the Negotiations took place in Oslo after the Chandrika regime are few such incidents that had taken place in connection with the ethnic issue.,NA,NA,Tamil,0,0,0
2020-07-26T00:00:00Z,Virakesari,News,Neutral,Neutral,Extinction Risk of Polar Bears by 2100,NA,"A new study found that polar bears are at risk of being starved into extinction by 2100 unless serious action is taken for climate change. Around 25,000 Polar bears are found in five nations across the Arctic: the U.S., Canada, Russia, Greenland, and Norway.",NA,NA,Tamil,0,0,0
2020-07-26T00:00:00Z,Thinakkural,Long Opinion,Neutral,Neutral,The beginning and the continuation of Corona Virus,Guru Aravinthan,"The Corona Virus, which started in China, spread to Norway on 26th February.",NA,NA,Tamil,0,0,0
2020-07-26T00:00:00Z,Thinakkural,Long Opinion,Neutral,Neutral,Palestine: Israel's land grab and American settlement,Ruban Sivaraja,"Although the Corona crisis engulfs the entire world, the occupying forces are not ready for a change in attitude. Israel captured the West Bank from Jordan during the Six Day War. As a result of the 1993 Oslo Accords, Palestine regained control of 18 per cent of the land in the West Bank.",NA,NA,Tamil,0,0,0
2020-07-26T00:00:00Z,Thinakkural,Feature,Neutral,Neutral,Restoration of trailing democracy in Sri Lanka,NA,"The results of a survey of 154 countries showed that disappointment has generally increased among people who previously had hope on democracy in many countries. Many countries, including Norway, are seen as having high hopes for democracy as global struggle organisation for the restoration of democracy continue to emerge.",NA,NA,Tamil,0,0,0
2020-07-25T00:00:00Z,Lankadeepa,Long Opinion,Neutral,Neutral,Reasons to Lose,M. S. M. Ayub,Author analyses the various elections hosted in Sri Lanka to-date. The 2001 Chandrika Banadaranaike Government failed as they had peace talks with the LTTE in Norway.,NA,NA,Sinhala,0,0,0
2020-07-25T00:00:00Z,Divaina,Long Opinion,Positive,Neutral,New Voting System that Reduces Costs,NA,The Sri Lankan Government will be spending 14 Billion Rupees in the upcoming election. In comparison countries like Norway only requires one voting machine and an officer to host an election.,NA,NA,Sinhala,1,0,1
2020-07-25T00:00:00Z,Divaina,Long Opinion,Neutral,Neutral,The TNA Election Manifesto that Paves the way to Eelam,Keerthi Warnakulasuriya,Author describes the various political affiliations the LTTE had during their active year. The Oslo-hosted Cease Fire Agreement was a key event in the LTTE's timeline.,NA,NA,Sinhala,0,0,0
2020-07-25T00:00:00Z,Daily FT,Long Opinion,Neutral,Neutral,Sirimavo Bandaranaike’s trailblazing foreign policy,George I. H. Cooke,Author describes the foreign policy during Sirimavo Bandaranaike's time in office. She maintained close and friendly relations with many foreign leaders including that of Norway.,NA,NA,English,0,0,0
2020-07-25T00:00:00Z,Thinakaran,Interview,Neutral,Neutral,Easter Day Terrorist Attack; In-depth research is needed to prevent future attacks,NA,"The report does not offer any justifiable reason to punish the entire Muslim community for the insanity of a few who have strayed from Islam. If properly focused on the underlying causes of the Easter Attack, Sri Lanka will not be a land of terrorist attacks in the future. Hate speech against minorities in the country in 2012 Violence is not related to Buddhism, but during the 30- years war, a small faction led by an unheard majority organization, got involved in those activities after its leader visited Norway.",NA,NA,Tamil,0,0,0
2020-07-24T00:00:00Z,The Island,Editorial,Neutral,Neutral,"Jacinda, Kolinda and others ",NA,Author describes the various politicians who received praise but however went on to be relatively bad leaders. Remembers George W. Bush who received the Nobel Peace Prize by the Norwegian Committee but went on to wage wars.,NA,NA,English,0,0,0
2020-07-24T00:00:00Z,Virakesari,Editorial,Neutral,Neutral,An honest approach to the solution is essential,NA,"The party coming to power must formulate a settlement plan so that the Tamil-speaking people of the North and East can fulfill their political aspirations. The Tamil people of the North and East have been demanding a political solution since the independence of Sri Lanka. It has not succeeded when previous governments have sought to resolve the ethnic issue in the past. From the Thimphu talks to the Oslo declaration, no effort has been successful to solve the ethnic issue of North and East Tamil people.",NA,NA,Tamil,0,0,0
2020-07-23T00:00:00Z,Aruna,Long Opinion,Neutral,Neutral,30 Years Since July Turned Black,NA,Author remembers the events of the Black July incident of Sri Lanka. The Oslo-hosted Cease Fire Agreement was a key event in the timeline of the war.,NA,NA,Sinhala,0,0,0
2020-07-23T00:00:00Z,Ada,Long Opinion,Neutral,Neutral,Bitter Gourd Pill for Easing Cancer,NA,Describes the effects of a pill that is an extract of Bitter Gourd. It will see production in the future as Norway has promised to build a BOI factory for production.,NA,NA,Sinhala,0,0,0
2020-07-23T00:00:00Z,The Island,News,Positive,Neutral,"PAFFREL receives Rs 8.5 mn from Japan, Rs. 6 mn from Norway ",NA,PAFFREL receives Rs. 6 mn from Norway to help in the PAFFREL Organizations' monitoring work.,NA,NA,English,1,0,1
2020-07-23T00:00:00Z,Thinakkural,News,Neutral,Neutral,Nobel Prize banquet cancelled over coronavirus for the first time,NA,"The Nobel Foundation, which manages the Nobel Prizes, cancelled its traditional December banquet due to the COVID-19 pandemic. The Nobel Peace Prize is announced in Oslo, Norway, while the others are awarded in Stockholm.",NA,NA,Tamil,0,0,0
2020-07-23T00:00:00Z,Tamil Mirror,Short Opinion,Neutral,Neutral,Tamil National and the Black July,Latchmanan,"Today marks the 37th anniversary of Black July, which was staged with the supreme blessing of the J. R. Jayewardene-led United National Party government against the Sri Lankan Tamil race. Although Tamil national Liberation struggle flourished, International interventions following Ranil - Prabha agreement in 2002 weakened the struggle due to internal conflicts and misunderstandings and that led to end the war in 2009.",NA,NA,Tamil,0,0,0
2020-07-23T00:00:00Z,Virakesari,News,Neutral,Neutral,A solution for the trapped Tamil people is possible if the United National Party rules,T. Sobithan,It was during the tenure of Ranil Wickremesinghe that some solutions for the Tamil people were put forward as no other government in our country cared about solutions for the Tamil people. Peace Talks between the LTTE and the government began in our country when Ranil Wickremesinghe was the Prime Minister.,NA,NA,Tamil,0,0,0
